Run,Level,Steps,SolutionObjects,Mirrors,Refractors,RuleTransitions,Decoys,TotalObjects,GridWidth,GridHeight,Cl,Ch,Ci,MID,Solved,SolvePhase,SearchNodes,SearchTimeMs,TotalPlacements,InPlaceRotations,Relocations,ExecutionTimeMs,SweepIterations,SweepRelocations,Solve Time (×1000 ms),GenerationTimeMs
89,41,7,5,3,2,1,2,7,16,16,0.0273,0.25,0.4,0.1687,0,Sweep,637,25.39,3,3,0,25347.78,114,0,25675.78,10.01
90,41,8,7,6,1,2,2,9,16,16,0.0352,0.3333,0.1429,0.1461,1,Sweep-S1,526,25.88,7,7,0,32921.51,12,0,33252.93,10.5
91,42,9,8,6,2,4,2,10,16,16,0.0391,0.5714,0.25,0.241,0,Sweep,465800,8003.17,0,0,0,14333.13,146,0,22643.8,10.38
92,42,3,2,2,0,0,3,5,16,16,0.0195,0,0,0.0098,1,Sweep-S1,6,9.28,1,0,1,7128.3,5,0,7444.82,10.01
93,43,4,3,1,2,1,3,6,16,16,0.0234,0.5,0.6667,0.2951,1,Sweep-S1,8299,456.54,3,3,0,22008.54,33,0,22772.22,10.25
94,44,5,3,2,1,1,3,6,16,16,0.0234,0.5,0.3333,0.2284,1,1B,1,8.54,1,0,1,6823,0,0,7432.37,10.74
95,45,6,5,2,3,3,3,8,16,16,0.0313,0.75,0.6,0.3606,0,Sweep,203,459.96,3,0,3,35354.49,137,0,36118.9,10.01
96,45,7,6,5,1,2,3,9,16,16,0.0352,0.4,0.1667,0.1709,1,1B,1,9.03,1,0,1,5829.1,0,0,6452.88,10.5
97,46,8,5,2,3,3,3,8,16,16,0.0313,0.75,0.6,0.3606,1,1B,1,8.79,1,0,1,7276.12,0,0,7895.51,10.25
98,47,9,7,4,3,3,3,10,16,16,0.0391,0.5,0.4286,0.2552,1,Sweep-S1,8,8.79,1,0,1,8262.7,7,0,8574.22,47.36
99,48,3,2,2,0,0,4,6,16,16,0.0234,0,0,0.0117,0,Sweep,262219,8002.69,0,0,0,6337.16,66,0,14642.33,10.25
100,48,4,3,1,2,2,4,7,16,16,0.0273,1,0.6667,0.447,1,1A,3,8.3,1,1,0,5762.7,0,0,6381.35,10.25
101,49,5,4,2,2,3,4,8,16,16,0.0313,1,0.5,0.4156,1,Sweep-S3,641,26.37,6,6,0,33586.67,54,0,33914.06,9.52
102,50,6,4,2,2,3,4,8,16,16,0.0313,1,0.5,0.4156,0,Sweep,794,12601.81,1,0,1,10763.43,89,1,23670.41,10.01
103,50,7,6,6,0,0,4,10,16,16,0.0391,0,0,0.0195,0,Sweep,381600,8002.93,0,0,0,9461.43,98,0,17771.73,10.5
104,50,8,6,4,2,2,4,10,16,16,0.0391,0.4,0.3333,0.2062,0,Sweep,398800,8005.86,0,0,0,11078.61,113,0,19385.99,10.74
105,50,9,6,4,2,2,4,10,16,16,0.0391,0.4,0.3333,0.2062,1,Sweep-S1,5,9.03,1,0,1,6848.88,4,0,7162.84,10.74
106,51,3,2,2,0,0,0,2,16,16,0.0078,0,0,0.0039,1,Sweep-S1,6,7.81,1,1,0,5772.22,4,0,6086.91,10.01
107,52,4,3,2,1,2,0,3,16,16,0.0117,1,0.3333,0.3725,0,Sweep,718,1005.37,1,0,1,5121.83,53,1,6429.44,10.01
108,52,5,4,4,0,0,0,4,16,16,0.0156,0,0,0.0078,1,Sweep-S1,5,8.3,1,0,1,6356.93,4,0,6671.88,10.01
109,53,6,5,2,3,1,0,5,16,16,0.0195,0.25,0.6,0.2048,1,Trivial,0,0,0,0,0,0,0,0,300.05,9.77
110,54,7,6,5,1,2,0,6,16,16,0.0234,0.4,0.1667,0.1651,0,Sweep,4860,252.69,3,3,0,23633.79,122,0,24191.89,9.77
111,54,8,6,5,1,2,0,6,16,16,0.0234,0.4,0.1667,0.1651,0,Sweep,262227,8008.06,0,0,0,7169.19,74,0,15482.42,10.25
112,54,9,6,4,2,2,0,6,16,16,0.0234,0.4,0.3333,0.1984,1,Sweep-S3,639,39.55,3,3,0,28664.55,118,0,29010.01,10.25
113,55,3,2,2,0,0,1,3,16,16,0.0117,0,0,0.0059,1,Sweep-S1,19,7.57,1,1,0,6434.57,18,0,6742.92,9.52
114,56,4,3,2,1,1,1,4,16,16,0.0156,0.5,0.3333,0.2245,0,Sweep,168,9.28,1,1,0,14530.76,94,0,14843.02,10.25
115,56,5,4,2,2,2,1,5,16,16,0.0195,0.6667,0.5,0.3098,0,Sweep,5330,236.82,2,2,0,22593.75,136,0,23137.45,9.52
116,56,6,5,4,1,1,1,6,16,16,0.0234,0.25,0.2,0.1267,0,Sweep,171,15.63,4,4,0,29806.15,96,0,30126.46,9.52
117,56,7,4,4,0,0,1,5,16,16,0.0195,0,0,0.0098,1,Sweep-S1,32781,1669.92,1,0,1,8150.64,4,0,10122.8,10.5
118,57,8,7,5,2,3,1,8,16,16,0.0313,0.5,0.2857,0.2228,0,1A,271035,8006.35,0,0,0,11130.13,113,0,19440.92,10.25
119,57,9,7,5,2,2,1,8,16,16,0.0313,0.3333,0.2857,0.1728,0,Sweep,798,13570.31,1,0,1,8985.84,93,1,22860.6,10.25
120,57,3,2,2,0,0,2,4,16,16,0.0156,0,0,0.0078,0,Sweep,4859,11142.58,0,0,0,4844.48,50,0,16289.06,10.01
121,57,4,3,1,2,1,2,5,16,16,0.0195,0.5,0.6667,0.2931,0,Sweep,4194,205.81,4,4,0,28804.44,88,0,29312.01,10.25
122,57,5,4,1,3,1,2,6,16,16,0.0234,0.3333,0.75,0.2617,0,Sweep,34004,1829.83,6,6,0,45580.57,139,0,47714.36,10.25
123,57,6,5,2,3,2,2,7,16,16,0.0273,0.5,0.6,0.2837,1,Trivial,0,0,0,0,0,0,0,0,300.05,10.5
124,58,7,4,1,3,1,2,6,16,16,0.0234,0.3333,0.75,0.2617,0,Sweep,41187,2044.92,5,5,0,33896.97,88,0,36247.31,10.01
125,58,8,7,4,3,5,2,9,16,16,0.0352,0.8333,0.4286,0.3533,1,Sweep-S1,228400,8005.13,0,0,0,1017.33,10,0,9322.75,10.25
126,59,9,6,4,2,3,2,8,16,16,0.0313,0.6,0.3333,0.2623,1,1B,1,9.03,1,0,1,6820.31,0,0,7437.01,12.21
127,60,3,2,2,0,0,3,5,16,16,0.0195,0,0,0.0098,1,Sweep-S1,21,15.63,5,5,0,24263.67,12,0,24581.79,12.94
128,61,4,3,2,1,1,3,6,16,16,0.0234,0.5,0.3333,0.2284,0,Sweep,184,10.01,1,1,0,17205.08,110,0,17522.46,14.16
129,61,5,4,3,1,2,3,7,16,16,0.0273,0.6667,0.25,0.2637,1,Sweep-S1,5,9.52,1,0,1,5989.99,4,0,6300.54,10.01
130,62,6,4,1,3,1,3,7,16,16,0.0273,0.3333,0.75,0.2637,0,Sweep,811,13900.39,1,0,1,10137.94,106,1,24338.62,9.52
131,62,7,6,1,5,2,3,9,16,16,0.0352,0.4,0.8333,0.3042,1,Sweep-S3,259400,8004.64,0,0,0,3620.85,36,0,11931.15,10.25
132,63,8,7,3,4,4,3,10,16,16,0.0391,0.6667,0.5714,0.3338,0,Sweep,447800,8008.06,0,0,0,13417.48,138,0,21726.56,10.25
133,63,9,6,4,2,2,3,9,16,16,0.0352,0.4,0.3333,0.2042,1,Sweep-S1,40977,2202.88,7,7,0,34796.14,6,0,37302.98,10.25
134,64,3,2,2,0,0,4,6,16,16,0.0234,0,0,0.0117,0,Sweep,762,10535.64,1,0,1,6940.43,73,1,17778.81,10.25
135,64,4,3,2,1,1,4,7,16,16,0.0273,0.5,0.3333,0.2303,0,Sweep,818,16315.19,1,0,1,14031.25,113,1,30652.34,10.25
136,64,5,4,2,2,2,4,8,16,16,0.0313,0.6667,0.5,0.3156,0,Sweep,794,12106.45,1,0,1,10701.66,89,1,23109.86,10.74
137,64,6,5,2,3,3,4,9,16,16,0.0352,0.75,0.6,0.3626,0,Sweep,806,22522.46,1,0,1,13753.17,101,1,36579.59,10.5
138,64,7,6,5,1,1,4,10,16,16,0.0391,0.2,0.1667,0.1129,0,Sweep,757,26.86,5,5,0,39262.21,170,0,39596.44,10.5
139,64,8,7,2,5,1,4,11,16,16,0.043,0.1667,0.7143,0.2143,1,1B,65,24.17,1,0,1,8658.2,0,0,9291.5,10.5
140,65,9,6,2,4,1,4,10,16,16,0.0391,0.2,0.6667,0.2129,1,1B,194,771,3,0,3,20057.86,0,0,21434.57,9.77
141,66,3,2,2,0,0,0,2,16,16,0.0078,0,0,0.0039,1,Sweep-S1,5,7.81,1,0,1,7915.53,4,0,8226.32,9.77
142,67,4,3,1,2,2,0,3,16,16,0.0117,1,0.6667,0.4392,1,Sweep-S1,6,7.57,1,0,1,8622.8,5,0,8935.79,9.77
143,68,5,4,2,2,3,0,4,16,16,0.0156,1,0.5,0.4078,0,Sweep,681,28.81,4,4,0,26709.47,96,0,27042.24,9.52
144,68,6,5,4,1,2,0,5,16,16,0.0195,0.5,0.2,0.1998,0,Sweep,777,27.34,4,4,0,38391.84,192,0,38722.41,66.41
145,68,7,6,2,4,2,0,6,16,16,0.0234,0.4,0.6667,0.2651,0,Sweep,262739,8006.59,0,0,0,8043.95,82,0,16353.52,12.7
146,68,8,7,3,4,5,0,7,16,16,0.0273,0.8333,0.5714,0.378,0,Sweep,41692,2244.14,7,7,0,46972.9,147,0,49524.66,12.94
147,68,9,6,4,2,2,0,6,16,16,0.0234,0.4,0.3333,0.1984,1,1B,1,8.06,1,0,1,6605.96,0,0,7217.53,10.01
148,69,3,2,2,0,0,1,3,16,16,0.0117,0,0,0.0059,0,Sweep,754,3948,1,0,1,4722.9,49,1,8977.78,9.77
149,69,4,3,2,1,2,1,4,16,16,0.0156,1,0.3333,0.3745,0,Sweep,235,18.31,2,2,0,21452.15,90,0,21771.97,11.23
150,69,5,4,1,3,2,1,5,16,16,0.0195,0.6667,0.75,0.3598,0,Sweep,1261,55.42,5,5,0,33735.11,99,0,34094.24,10.25
151,69,6,4,3,1,2,1,5,16,16,0.0195,0.6667,0.25,0.2598,1,Sweep-S1,37,7.57,1,1,0,9750.24,36,0,10059.57,9.77
152,70,7,6,3,3,1,1,7,16,16,0.0273,0.2,0.5,0.1737,0,Sweep,357000,8002.2,0,0,0,7156.74,74,0,15464.6,9.52
153,70,8,6,4,2,3,1,7,16,16,0.0273,0.6,0.3333,0.2603,0,Sweep,384000,8004.64,0,0,0,8716.06,89,0,17022.71,10.25
154,70,9,5,5,0,0,1,6,16,16,0.0234,0,0,0.0117,0,Sweep,782,14537.6,1,0,1,10164.06,77,1,25006.84,10.25
155,70,3,2,2,0,0,2,4,16,16,0.0156,0,0,0.0078,0,Sweep,4170,213.87,2,0,2,19443.6,64,0,19961.67,9.77
156,70,4,3,3,0,0,2,5,16,16,0.0195,0,0,0.0098,1,Trivial,0,0,0,0,0,0,0,0,303.22,10.5
157,71,5,4,2,2,1,2,6,16,16,0.0234,0.3333,0.5,0.2117,1,1A,8258,436.04,1,1,0,4886.96,0,0,5931.15,10.99
158,72,6,5,3,2,3,2,7,16,16,0.0273,0.75,0.4,0.3187,0,Sweep,790,15706.54,1,0,1,11030.76,85,1,27040.28,9.77
159,72,7,3,2,1,1,2,5,16,16,0.0195,0.5,0.3333,0.2264,1,1B,32777,1635.25,1,0,1,4590.58,0,0,6829.83,10.25
160,73,8,6,1,5,2,2,8,16,16,0.0313,0.4,0.8333,0.3023,0,Sweep,794,11604.74,1,0,1,8491.7,89,1,20398.68,10.01
161,73,9,8,4,4,6,2,10,16,16,0.0391,0.8571,0.5,0.3767,1,Sweep-S2,739,20472.41,1,0,1,6481.2,34,1,27256.84,10.25
162,74,3,2,2,0,0,3,5,16,16,0.0195,0,0,0.0098,1,Sweep-S1,21,15.14,4,4,0,18465.82,12,0,18785.89,10.01
163,75,4,3,0,3,0,3,6,16,16,0.0234,0,1,0.2117,1,Sweep-S1,5134,270.26,3,3,0,15507.32,3,0,16078.13,10.25
164,76,5,4,3,1,2,3,7,16,16,0.0273,0.6667,0.25,0.2637,0,1A,299124,8008.55,0,0,0,10386.96,107,0,18698.49,10.25
165,76,6,5,5,0,0,3,8,16,16,0.0313,0,0,0.0156,0,Sweep,665600,8006.84,0,0,0,24218.02,243,0,32530.27,10.25
166,76,7,6,3,3,3,3,9,16,16,0.0352,0.6,0.5,0.2976,0,Sweep,410600,8013.43,0,0,0,15519.29,155,0,23837.16,10.5
167,76,8,7,5,2,3,3,10,16,16,0.0391,0.5,0.2857,0.2267,1,Sweep-S1,8,9.03,1,0,1,8293.7,7,0,8605.47,11.23
168,77,9,5,3,2,1,3,8,16,16,0.0313,0.25,0.4,0.1706,1,Sweep-S1,6,10.25,1,0,1,7105.71,5,0,7421.88,10.74
169,78,3,2,2,0,0,4,6,16,16,0.0234,0,0,0.0117,1,Trivial,0,0,0,0,0,0,0,0,300.29,10.74
170,79,4,3,2,1,1,4,7,16,16,0.0273,0.5,0.3333,0.2303,1,Sweep-S1,5,8.79,1,0,1,7024.66,4,0,7339.6,10.5
171,80,5,4,3,1,2,4,8,16,16,0.0313,0.6667,0.25,0.2656,0,1A,262771,8006.59,0,0,0,9506.35,97,0,17816.65,12.21
172,80,6,4,0,4,0,4,8,16,16,0.0313,0,1,0.2156,0,Sweep,8909,485.84,4,4,0,29308.11,132,0,30099.85,11.23
173,80,7,6,3,3,3,4,10,16,16,0.0391,0.6,0.5,0.2995,1,1B,1,9.28,1,0,1,4732.67,0,0,5345.95,10.99
174,81,8,5,3,2,2,4,9,16,16,0.0352,0.5,0.4,0.2476,1,Sweep-S1,8,10.01,1,0,1,9891.11,7,0,10210.69,11.23
175,82,9,5,4,1,1,4,9,16,16,0.0352,0.25,0.2,0.1326,0,Sweep,359800,8012.45,0,0,0,12039.55,121,0,20359.62,10.74
176,82,3,2,2,0,0,0,2,16,16,0.0078,0,0,0.0039,1,Sweep-S1,5,9.03,1,0,1,7315.43,4,0,7626.95,10.5
177,83,4,3,2,1,1,0,3,16,16,0.0117,0.5,0.3333,0.2225,0,Sweep,754,5543.7,1,0,1,4802,49,1,10654.3,11.96
178,83,5,4,2,2,3,0,4,16,16,0.0156,1,0.5,0.4078,0,Sweep,742,30.76,3,3,0,27627.69,156,0,27959.72,10.99
179,83,6,4,2,2,1,0,4,16,16,0.0156,0.3333,0.5,0.2078,0,Sweep,4928,8199.46,0,0,0,9334.47,95,0,17838.87,10.74
180,83,7,6,3,3,4,0,6,16,16,0.0234,0.8,0.5,0.3517,1,Sweep-S1,13,8.3,1,1,0,5973.63,3,0,6286.87,10.5
181,84,8,6,4,2,2,0,6,16,16,0.0234,0.4,0.3333,0.1984,1,Sweep-S1,6,9.77,1,0,1,7371.34,5,0,7682.13,10.74
182,85,9,8,4,4,6,0,8,16,16,0.0313,0.8571,0.5,0.3728,0,Sweep,8443,554.69,6,6,0,44394.53,185,0,45257.08,10.5
183,85,3,2,2,0,0,1,3,16,16,0.0117,0,0,0.0059,1,Sweep-S1,5,10.25,1,0,1,7013.18,4,0,7328.37,10.74
184,86,4,3,3,0,0,1,4,16,16,0.0156,0,0,0.0078,1,Sweep-S1,37,9.52,1,1,0,9146.73,36,0,9456.79,10.25
185,87,5,3,2,1,2,1,4,16,16,0.0156,1,0.3333,0.3745,1,1B,1,9.03,1,0,1,7074.71,0,0,7693.36,14.16
186,88,6,5,5,0,0,1,6,16,16,0.0234,0,0,0.0117,1,1B,1,14.89,1,0,1,8340.09,0,0,8975.1,11.96
187,89,7,5,4,1,2,1,6,16,16,0.0234,0.5,0.2,0.2017,0,Sweep,650,36.87,3,3,0,23792.24,121,0,24136.96,93.99
188,89,8,7,6,1,1,1,8,16,16,0.0313,0.1667,0.1429,0.0942,0,Sweep,4239,220.46,6,6,0,36742.19,134,0,37270.51,11.47
189,89,9,8,5,3,5,1,9,16,16,0.0352,0.7143,0.375,0.3069,0,1A,295092,8007.81,0,0,0,11309.08,115,0,19623.54,11.23
190,89,3,2,2,0,0,2,4,16,16,0.0156,0,0,0.0078,1,Sweep-S1,21,18.07,4,4,0,27751.46,12,0,28077.39,10.99
191,90,4,3,2,1,2,2,5,16,16,0.0195,1,0.3333,0.3764,1,1B,1,10.74,1,0,1,7582.52,0,0,8198.98,10.99
192,91,5,4,2,2,2,2,6,16,16,0.0234,0.6667,0.5,0.3117,0,Sweep,5244,298.34,4,4,0,31855.96,114,0,32455.08,10.74
193,91,6,3,1,2,1,2,5,16,16,0.0195,0.5,0.6667,0.2931,1,Sweep-S1,5,9.28,1,1,0,3904.79,4,0,4215.33,11.23
194,92,7,5,3,2,3,2,7,16,16,0.0273,0.75,0.4,0.3187,1,Sweep-S1,5,9.28,1,0,1,8773.44,4,0,9088.38,10.25
195,93,8,7,3,4,4,2,9,16,16,0.0352,0.6667,0.5714,0.3319,0,Sweep,418200,8022.95,0,0,0,14138.18,143,0,22467.29,11.72
196,93,9,6,6,0,0,2,8,16,16,0.0313,0,0,0.0156,0,Sweep,798,19705.08,1,0,1,12822.75,93,1,32829.59,10.74
197,93,3,2,2,0,0,3,5,16,16,0.0195,0,0,0.0098,0,Sweep,746,1763.18,1,0,1,6230.47,65,1,8301.27,10.74
198,93,4,3,3,0,0,3,6,16,16,0.0234,0,0,0.0117,1,Sweep-S1,29,19.53,4,4,0,24095.7,20,0,24419.92,10.74
199,94,5,4,1,3,1,3,7,16,16,0.0273,0.3333,0.75,0.2637,0,Sweep,786,17347.66,1,0,1,10964.84,81,1,28615.72,11.23
200,94,6,3,1,2,1,3,6,16,16,0.0234,0.5,0.6667,0.2951,1,Sweep-S1,16,10.25,1,1,0,6128.91,7,0,6445.31,11.23
201,95,7,6,4,2,3,3,9,16,16,0.0352,0.6,0.3333,0.2642,1,Trivial,0,0,0,0,0,0,0,0,308.59,11.23
202,96,8,6,3,3,2,3,9,16,16,0.0352,0.4,0.5,0.2376,0,Sweep,373800,8004.88,0,0,0,11543.95,118,0,19855.96,11.23
203,96,9,8,3,5,3,3,11,16,16,0.043,0.4286,0.625,0.2751,0,Sweep,900,15918.95,0,0,0,30751.46,131,0,46976.07,11.23
204,96,3,2,2,0,0,4,6,16,16,0.0234,0,0,0.0117,1,Sweep-S1,13,8.79,1,1,0,6029.3,4,0,6344.73,12.21
205,97,4,3,2,1,2,4,7,16,16,0.0273,1,0.3333,0.3803,0,Sweep,917,13778.32,1,0,1,21158.2,212,1,35241.21,10.74
206,97,5,4,3,1,2,4,8,16,16,0.0313,0.6667,0.25,0.2656,0,Sweep,318200,8007.81,0,0,0,8665.04,89,0,16973.14,11.23
207,97,6,4,3,1,1,4,8,16,16,0.0313,0.3333,0.25,0.1656,1,Sweep-S2,739,12106.93,1,0,1,5932.13,34,1,18345.7,10.25
208,98,7,6,4,2,4,4,10,16,16,0.0391,0.8,0.3333,0.3262,1,Sweep-S1,13,9.77,1,1,0,7709.96,3,0,8021,10.74
209,99,8,3,1,2,2,4,7,16,16,0.0273,1,0.6667,0.447,1,Sweep-S1,6,9.77,1,0,1,5474.12,5,0,5788.09,10.25
210,100,9,7,2,5,1,4,11,16,16,0.043,0.1667,0.7143,0.2143,0,Sweep,818,8820.8,0,0,0,17072.75,105,0,26198.73,10.74
211,100,3,2,2,0,0,0,2,16,16,0.0078,0,0,0.0039,1,Sweep-S1,5,8.3,1,0,1,6811.52,4,0,7129.4,10.25
212,101,4,3,1,2,2,0,3,16,16,0.0117,1,0.6667,0.4392,1,Trivial,0,0,0,0,0,0,0,0,306.15,10.74
213,102,5,3,3,0,0,0,3,16,16,0.0117,0,0,0.0059,1,Sweep-S1,5,8.79,1,0,1,7579.1,4,0,7890.63,10.74
214,103,6,4,2,2,1,0,4,16,16,0.0156,0.3333,0.5,0.2078,1,Sweep-S1,33,23.44,3,3,0,15187.01,23,0,15514.65,10.25
215,104,7,5,3,2,3,0,5,16,16,0.0195,0.75,0.4,0.3148,0,Sweep,774,12337.89,1,0,1,9082.52,69,1,21728.52,11.23
216,104,8,5,3,2,3,0,5,16,16,0.0195,0.75,0.4,0.3148,1,Sweep-S1,86,22.95,5,5,0,22657.23,11,0,22983.89,11.23
217,105,9,6,2,4,2,0,6,16,16,0.0234,0.4,0.6667,0.2651,1,1B,1,12.21,1,0,1,8958.98,0,0,9581.54,10.74
218,106,3,2,2,0,0,1,3,16,16,0.0117,0,0,0.0059,1,Sweep-S1,21,17.58,2,2,0,10172.85,12,0,10495.61,10.74
219,107,4,3,2,1,1,1,4,16,16,0.0156,0.5,0.3333,0.2245,0,Sweep,259,21.97,3,3,0,19457.52,65,0,19789.55,14.65
220,107,5,3,2,1,2,1,4,16,16,0.0156,1,0.3333,0.3745,1,Sweep-S1,8,8.79,1,0,1,8265.14,7,0,8577.64,10.74
221,108,6,4,3,1,1,1,5,16,16,0.0195,0.3333,0.25,0.1598,1,1A,2,8.79,1,1,0,3156.74,0,0,3768.56,11.23
222,109,7,6,5,1,2,1,7,16,16,0.0273,0.4,0.1667,0.167,0,Sweep,790,9318.36,1,0,1,8371.58,85,1,17992.68,11.23
223,109,8,4,1,3,1,1,5,16,16,0.0195,0.3333,0.75,0.2598,0,Sweep,746,9322.75,1,0,1,6248.05,65,1,15875,10.74
224,109,9,8,7,1,2,1,9,16,16,0.0352,0.2857,0.125,0.1283,0,Sweep,349200,8006.35,0,0,0,11259.77,113,0,19566.89,10.74
